indice,esperado,previsto,acertou,y_A,y_B,y_C,y_D,y_E,y_F,y_G,y_H,y_I,y_J,y_K,y_L,y_M,y_N,y_O,y_P,y_Q,y_R,y_S,y_T,y_U,y_V,y_W,y_X,y_Y,y_Z
15,Q,O,0,-1.000000,-1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-0.999998,-1.000000,-1.000000,-0.999998,-1.000000,-0.999922,-1.000000,-1.000000,-0.999835,-1.000000,-0.999999,-1.000000,-0.999997,-1.000000,-0.999994,-0.999997,-1.000000,-1.000000,-1.000000,-1.000000
16,L,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.981187,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
17,Q,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999935,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000
18,Z,Z,1,-0.999998,-1.000000,-1.000000,-1.000000,-0.999995,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-0.999984,-0.999999,-0.999960,-1.000000,-1.000000,0.155758
19,H,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999885,-1.000000,-0.997335,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999995,-1.000000,-1.000000,-1.000000
20,F,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972549,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
21,K,K,1,-1.000000,-0.999999,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.999956,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
22,O,Q,0,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000,-1.000000,0.993467,-1.000000,-0.999966,-1.000000,-0.999992,-0.999985,-0.999992,-1.000000,-1.000000,-1.000000
23,Z,M,0,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999634,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-0.999984,-1.000000,-1.000000,-0.999827
24,V,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972549,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
25,J,T,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999981,-0.999849,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.976213,-0.999997,-1.000000,-0.999999,-1.000000,-1.000000,-0.999993
26,C,C,1,-1.000000,-1.000000,0.999971,-1.000000,-0.999999,-1.000000,-0.999995,-1.000000,-1.000000,-0.999994,-1.000000,-1.000000,-1.000000,-1.000000,-0.999986,-0.999985,-1.000000,-0.999997,-1.000000,-1.000000,-0.999970,-0.999999,-1.000000,-0.999963,-1.000000,-1.000000
27,J,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999040,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
28,K,K,1,-1.000000,-0.999977,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.860647,-0.999998,-0.999996,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
29,U,K,0,-1.000000,-1.000000,-0.999998,-0.999918,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999914,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
30,I,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-0.999990,-1.000000,-1.000000,-0.999999,-1.000000,-0.999963,-0.995522,-1.000000,-1.000000,-0.999999,-1.000000,-0.999998,-1.000000,-0.999939,-0.999973,-1.000000,-1.000000,-0.999996,-1.000000,-0.999991
31,L,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999935,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000
32,S,T,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.995522,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
33,J,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.998571,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000
34,K,K,1,-1.000000,-0.999993,-1.000000,-1.000000,-0.999992,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
35,R,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.998626,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
36,X,K,0,-1.000000,-0.999977,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.853017,-0.999998,-0.999996,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
37,Z,Z,1,-0.999992,-0.999998,-1.000000,-0.999993,-1.000000,-0.999999,-0.999893,-1.000000,-1.000000,-0.999999,-1.000000,-0.996812,-0.999999,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-0.924783,-0.999960,-0.999992,-1.000000,-0.999999,-1.000000,0.999984
38,V,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972583,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
39,V,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.998567,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
40,S,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972549,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
41,N,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999684,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000
42,W,W,1,-1.000000,-0.999982,-1.000000,-1.000000,-1.000000,-0.999900,-0.999324,-1.000000,-1.000000,-0.999995,-1.000000,-0.999902,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-0.999791,-1.000000,0.999812,-1.000000,-0.999998,-0.999991
43,A,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.998586,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
44,E,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
45,V,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.993171,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000
46,W,W,1,-0.999993,-0.999998,-1.000000,-1.000000,-1.000000,-0.999995,-0.999995,-1.000000,-1.000000,-1.000000,-1.000000,-0.999992,-0.999996,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-0.999954,-1.000000,1.000000,-1.000000,-1.000000,-1.000000
47,M,M,1,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999976,-1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999977,-1.000000,-0.999963,-1.000000,-1.000000,-1.000000
48,J,T,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999981,-0.999849,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.976213,-0.999997,-1.000000,-0.999999,-1.000000,-1.000000,-0.999993
49,T,T,1,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-0.999982,-0.999848,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.948096,-0.999998,-0.999999,-1.000000,-1.000000,-1.000000,-0.999908
50,G,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-0.999987,-1.000000,-0.999998,-0.999997,-1.000000,-1.000000,-0.995425,-0.999996,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-0.999970,-1.000000,-0.999998,-0.999996,-1.000000,-1.000000,-1.000000,-1.000000
51,Q,Q,1,-0.999999,-1.000000,-1.000000,-1.000000,-0.999974,-1.000000,-0.999983,-0.999999,-1.000000,-0.999982,-1.000000,-0.999774,-1.000000,-1.000000,-1.000000,-0.999996,0.999848,-1.000000,-0.999741,-0.999998,-0.999877,-0.999454,-0.999998,-1.000000,-1.000000,-1.000000
52,G,O,0,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-0.999962,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
53,B,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999430,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000
54,E,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972596,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
55,P,X,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-0.999997,-1.000000,-1.000000
56,O,L,0,-1.000000,-1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-0.999998,-1.000000,-1.000000,-0.999998,-1.000000,-0.999924,-1.000000,-1.000000,-0.999945,-1.000000,-0.999999,-1.000000,-0.999997,-1.000000,-0.999994,-0.999997,-1.000000,-1.000000,-1.000000,-1.000000
57,G,O,0,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000,-1.000000,-0.999995,-1.000000,-1.000000,-1.000000,-0.998270,-1.000000,-1.000000,-1.000000,-0.994874,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999983,-0.999999,-1.000000,-0.999999,-1.000000,-1.000000
58,C,C,1,-0.999999,-0.999996,0.939895,-1.000000,-0.999994,-1.000000,-0.999809,-0.999999,-1.000000,-0.999995,-1.000000,-0.999992,-1.000000,-1.000000,-0.989544,-0.999995,-1.000000,-0.999994,-1.000000,-1.000000,-0.999730,-0.999959,-1.000000,-0.999958,-1.000000,-1.000000
59,C,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999692,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000
60,N,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.980613,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
61,Q,O,0,-1.000000,-0.999983,-1.000000,-1.000000,-1.000000,-0.999922,-0.999752,-0.999967,-1.000000,-0.999165,-1.000000,-0.999736,-1.000000,-1.000000,1.000000,-1.000000,-0.999998,-1.000000,-0.999986,-1.000000,-0.999364,-0.999991,-1.000000,-0.999995,-0.999999,-1.000000
62,P,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.987450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
63,W,D,0,-0.995278,-0.999962,-1.000000,1.000000,-0.999720,-0.999992,-0.999979,-0.999987,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000,-0.999999,-0.999999,-1.000000,-0.999979,-0.999951,0.993833,-0.999999,-1.000000,-0.999999
64,Z,Z,1,-0.999992,-0.999998,-1.000000,-0.999990,-1.000000,-0.999999,-0.999902,-1.000000,-1.000000,-0.999999,-1.000000,-0.996923,-0.999999,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-0.915051,-0.999963,-0.999992,-1.000000,-0.999999,-1.000000,0.999983
65,G,D,0,-1.000000,-1.000000,-0.999970,-0.994036,-0.999966,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-0.997019,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999982,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000
66,K,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999096,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
67,Q,Q,1,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000,-1.000000,0.993465,-1.000000,-0.999966,-1.000000,-0.999992,-0.999985,-0.999992,-1.000000,-1.000000,-1.000000
68,M,M,1,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.998570,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000
69,Q,Q,1,-0.999999,-1.000000,-1.000000,-1.000000,-0.999977,-1.000000,-0.999985,-0.999999,-1.000000,-0.999983,-1.000000,-0.999799,-1.000000,-1.000000,-1.000000,-0.999997,0.999831,-1.000000,-0.999755,-0.999999,-0.999886,-0.999506,-0.999998,-1.000000,-1.000000,-1.000000
70,G,M,0,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999976,-1.000000,-0.999994,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999995,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
71,T,T,1,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-0.999982,-0.999848,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.948096,-0.999998,-0.999999,-1.000000,-1.000000,-1.000000,-0.999908
72,M,M,1,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-1.000000,-0.999997,-1.000000,-0.999993,1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
73,U,D,0,-1.000000,-1.000000,-1.000000,-0.984713,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.996545,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000
74,B,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972594,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
75,B,D,0,-1.000000,-1.000000,-1.000000,-0.984626,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.996548,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000
76,U,K,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.972549,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
77,I,T,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999981,-0.999849,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.976213,-0.999997,-1.000000,-0.999999,-1.000000,-1.000000,-0.999993
78,H,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.930372,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999989,-1.000000,-1.000000,-1.000000
79,U,V,0,-1.000000,-1.000000,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-0.999996,-0.999999,-1.000000,-1.000000,-1.000000
80,W,W,1,-0.999514,-0.904977,-1.000000,-1.000000,-0.999754,-0.999883,-0.998662,-0.999890,-0.999999,-0.999837,-0.999993,-0.969478,-1.000000,-0.999999,-1.000000,-0.999999,-1.000000,-0.963524,-0.998885,-1.000000,-0.998892,-1.000000,1.000000,-0.982995,-0.999997,-0.999797
81,X,K,0,-1.000000,-0.999987,-1.000000,-1.000000,-0.999964,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-0.858238,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999973,-1.000000,-0.999991,-1.000000,-1.000000,-0.998644
82,J,M,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.998571,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000
